Ticket_Text,True_Label,Pred_1,Score_1,Pred_2,Score_2,Pred_3,Score_3
"Query on Data Analytics Tools for Investment Optimization: Dear Customer Support, I am inquiring abo...",IT Support,Customer Service,81.51%,General Inquiry,12.27%,Returns and Exchanges,1.23%
Problems with Connection: Customers are facing occasional connectivity problems with the SaaS platfo...,IT Support,General Inquiry,22.96%,Product Support,12.54%,Technical Support,12.27%
": Hello Customer Support, I am inquiring about optimizing my investments using the data analytics to...",Billing and Payments,Customer Service,75.13%,General Inquiry,12.68%,Returns and Exchanges,2.64%
Found Issues with Secure Data Access in Hospital Systems: We have identified secure data access issu...,Technical Support,General Inquiry,20.15%,IT Support,19.63%,Technical Support,16.22%
: Could you offer assistance on securing medical data with Bitdefender Antivirus Plus on hospital sy...,IT Support,Returns and Exchanges,16.69%,Technical Support,15.82%,General Inquiry,15.34%
Review and Update Compatibility Settings for Enhanced Integration: Please update the compatibility s...,IT Support,General Inquiry,45.07%,Returns and Exchanges,12.43%,Technical Support,10.12%
Ensuring Medical Data Security in Healthcare: Inquiring about the security measures in place to prot...,Returns and Exchanges,General Inquiry,40.64%,IT Support,15.52%,Returns and Exchanges,10.66%
Query Regarding Digital Strategies in the Digital Realm: Would you like to know more about our digit...,Technical Support,General Inquiry,64.17%,Returns and Exchanges,12.02%,Technical Support,3.72%
Support Required for Hadoop Integration Troubleshooting: An error has occurred during the integratio...,Returns and Exchanges,Technical Support,58.53%,IT Support,8.08%,General Inquiry,7.85%
": encountered a data breach in hospital systems, resulting in the compromise of patient records. Out...",Technical Support,General Inquiry,30.58%,Returns and Exchanges,18.60%,IT Support,10.17%
": Customer Support, I am facing connectivity issues with my Streaming-Kamera while using a WLAN-Rout...",Technical Support,Customer Service,89.55%,General Inquiry,3.78%,Returns and Exchanges,1.61%
Issue with Software Crashes: Encountering software crashes in various applications. Possible compati...,Technical Support,General Inquiry,39.70%,Technical Support,17.59%,IT Support,11.64%
": Dear support team, a severe application failure has been experienced with our project management S...",Product Support,Technical Support,23.73%,General Inquiry,20.31%,Customer Service,13.29%
Request for Detailed Documentation on Smartsheet SaaS Project Management Software: Is it possible to...,Product Support,General Inquiry,32.33%,Product Support,12.51%,Technical Support,12.21%
Problem with Data Processing in Investment Analytics Tool: The data analytics tool is not processing...,Customer Service,Technical Support,20.59%,Product Support,19.49%,IT Support,17.28%
Reported System Performance Degradation: The project management SaaS encountered an abrupt decline i...,Product Support,General Inquiry,23.94%,Technical Support,17.87%,Service Outages and Maintenance,15.23%
"Question: Dear Customer Support Team,\n\nI am reaching out to request comprehensive details about da...",Technical Support,Customer Service,79.30%,General Inquiry,9.56%,Technical Support,2.29%
"Digital Campaigns Performing Poorly Across Multiple Platforms: Dear Customer Support, I am reaching ...",Product Support,Customer Service,75.90%,General Inquiry,14.90%,Technical Support,2.14%
"Efficiently Update Digital Marketing Strategies Today: Customer Support, I am requesting an update t...",Customer Service,Customer Service,76.43%,General Inquiry,8.47%,Product Support,2.97%
"Help Needed for Wi-Fi Connection Problems: Dear Customer Support Team,\n\nI am seeking assistance wi...",Product Support,Customer Service,63.50%,General Inquiry,15.27%,Technical Support,6.31%
"Inconsistencies Detected in Investment Analytics Data: Dear Customer Support, a financial institutio...",Product Support,Customer Service,87.82%,General Inquiry,3.76%,Technical Support,1.87%
"Information on Data Analytics Tools: Customer support, seeking details on the data analytics tools u...",IT Support,Customer Service,88.91%,General Inquiry,5.77%,Returns and Exchanges,1.26%
: The SaaS platform faced sporadic outages caused by compatibility problems with Node.js 14.17 durin...,Customer Service,Service Outages and Maintenance,37.97%,Returns and Exchanges,19.16%,General Inquiry,13.90%
": Customer Support, reporting an issue with the project management SaaS platform. Experiencing spora...",IT Support,Customer Service,81.55%,General Inquiry,6.16%,Technical Support,2.79%
Support Required for Integrating with Projektor: Can you offer detailed integration instructions for...,IT Support,General Inquiry,31.77%,Product Support,16.23%,IT Support,13.33%
Today's Delays in Project Dashboard Loading: Users reported intermittent delays when loading the pro...,Technical Support,General Inquiry,25.59%,IT Support,17.76%,Technical Support,14.77%
Problem with the latest billing statement: There seems to be an issue with the latest billing statem...,Billing and Payments,General Inquiry,29.06%,Billing and Payments,25.90%,Customer Service,10.90%
